DateTime,Entries,UniqueIPs
1527130235,3349,3401
1527135038,3348,3400
1527139835,3346,3398
1527144036,3348,3400
1527147634,3350,3402
1527153636,3348,3400
1527158435,3339,3391
1527163836,3344,3396
1527169836,3340,3392
1527175235,3336,3388
1527180036,3346,3398
1527183034,3343,3396
1527186636,3354,3408
1527193834,3342,3397
1527197437,3344,3399
1527201034,3329,3384
1527208233,3326,3381
1527212436,3324,3379
1527216636,3315,3369
1527221436,3311,3364
1527227435,3304,3357
1527232235,3301,3354
1527238236,3292,3345
1527243036,3291,3344
1527248437,3292,3345
1527253836,3295,3349
1527259836,3292,3345
1527267634,3291,3344
1527271837,3289,3342
1527277236,3287,3341
1527280835,3289,3343
1527283836,3290,3344
1527288036,3282,3336
1527291033,3280,3334
1527291033,3284,3338
1527295236,3275,3329
1527295236,3284,3338
1527298832,3271,3325
1527298832,3275,3329
1527298832,3275,3329
1527298832,3275,3329
1527304835,3273,3328
1527304835,3274,3329
1527304835,3274,3329
1527304835,3274,3329
1527309638,3271,3326
1527309638,3275,3330
1527309638,3275,3330
1527309638,3275,3330
1527315635,3266,3321
1527315635,3273,3328
1527315635,3273,3328
1527315635,3273,3328
1527319836,3276,3331
1527319836,3276,3331
1527319836,3276,3331
1527319836,3276,3331
1527324035,3272,3327
1527324035,3272,3327
1527324035,3277,3332
1527327633,3275,3330
1527327633,3275,3330
1527971434,3165,3214
1527971434,3165,3214
1527971434,3165,3214
1527975037,3157,3206
1527975037,3163,3212
1527975037,3163,3212
1527975037,3163,3212
1527979236,3157,3206
1527979236,3161,3210
1527979236,3161,3210
1527979236,3161,3210
1527984636,3153,3202
1527984636,3153,3202
1527984636,3159,3208
1527988234,3151,3200
1527988234,3151,3200
1527988234,3151,3200
1527988234,3151,3200
1527988234,3155,3204
1527993636,3149,3198
1527993636,3149,3198
1527993636,3149,3198
1527993636,3149,3198
1527998436,3146,3195
1527998436,3146,3195
1527998436,3146,3195
1528002033,3150,3199
1528002033,3150,3199
1528006236,3143,3191
1528011037,3143,3191
1528015235,3135,3183
1528020037,3138,3186
1528023634,3137,3184
1528027836,3135,3182
1528033236,3134,3180
1528041637,3132,3178
1528045234,3134,3179
1528052434,3130,3175
1528059635,3119,3164
1528063235,3120,3165
1528067436,3115,3160
1528072236,3114,3159
1528083034,3112,3157
1528086635,3106,3151
1528090234,3102,3147
1528093836,3105,3150
1528098037,3100,3145
1528108835,3088,3133
1528112434,3090,3135
1528117836,3085,3130
1528123236,3080,3125
1528126234,3077,3122
1528129836,3081,3127
1528133434,3080,3125
1528137639,3084,3129
1528143036,3084,3129
1528146634,3080,3125
1528150236,3076,3121
1528155637,3069,3114
1528161037,3067,3112
1528166437,3067,3112
1528171835,3065,3110
1528177837,3067,3112
1528182636,3059,3101
1528188036,3051,3093
1528192836,3050,3092
1528197037,3043,3085
1528200634,3043,3086
1528206036,3041,3084
1528211437,3036,3079
1528216837,3034,3077
1528222237,3036,3079
1528227037,3030,3073
1528230634,3033,3076
1528234236,3036,3079
1528238437,3030,3073
1528242034,3033,3076
1528246836,3026,3069
1528250433,3028,3071
1528254635,3023,3066
1528260037,3025,3068
1528265436,3028,3071
1528270836,3024,3067
1528275638,3024,3067
1528279836,3017,3060
1528285237,3019,3062
1528290036,3020,3063
1528294237,3013,3056
1528299636,3014,3057
1528304437,3012,3055
1528308034,3012,3055
1528308034,3015,3058
1528312237,3016,3059
1528315234,3007,3049
1528318837,3008,3050
1528323036,2996,3039
1528327836,2987,3031
1528332036,2990,3034
1528337436,2981,3025
1528342836,2977,3021
1528348236,2977,3021
1528353036,2973,3017
1528357236,2971,3016
1528363236,2974,3019
1528367440,2962,3007
1528371637,2964,3009
1528377036,2959,3004
1528382438,2957,3002
1528385435,2959,3004
1528389036,2960,3005
1528396234,2966,3011
1528403434,2966,3012
1528411234,2964,3010
1528414837,2967,3013
1528418434,2963,3009
1528422037,2968,3014
1528425635,2963,3009
1528431036,2952,2997
1528436438,2950,2995
1528441836,2942,2987
1528447238,2942,2987
1528452636,2932,2977
1528458636,2935,2980
1528462837,2933,2978
1528467036,2926,2970
1528470634,2927,2971
1528474237,2923,2967
1528477235,2924,2968
1528481436,2925,2969
1528486837,2948,2992
1528491637,2945,2989
1528495234,2948,2992
1528498837,2949,2993
1528502435,2941,2985
1528506637,2936,2980
1528512036,2938,2982
1528517436,2940,2984
1528522836,2937,2981
1528528236,2932,2976
1528533638,2929,2973
1528539636,2934,2978
1528545036,2931,2974
1528549837,2931,2974
1528555837,2927,2969
1528561237,2925,2967
1528566037,2922,2964
1528569634,2925,2967
1528575037,2917,2959
1528579837,2920,2962
1528587033,2918,2960
1528591236,2906,2948
1528597237,2900,2942
1528602036,2897,2938
1528606836,2884,2925
1528614634,2891,2931
1528617636,2892,2932
1528621837,2888,2928
1528627237,2886,2926
1528632637,2889,2929
1528638036,2886,2926
1528642837,2881,2921
1528649437,2881,2921
1528654238,2880,2920
1528659037,2876,2916
1528663237,2879,2919
1528666834,2884,2924
1528672236,2887,2927
1528677636,2888,2928
1528683037,2889,2928
1528689036,2895,2934
1528694437,2891,2930
1528699236,2889,2928
1528704638,2891,2931
1528709436,2884,2925
1528713036,2885,2926
1528716636,2887,2928
1528720837,2876,2916
1528724433,2877,2917
1528729236,2855,2895
1528732235,2857,2897
1528739433,2846,2886
1528743636,2837,2877
1528747234,2838,2878
1528750837,2837,2877
1528754434,2836,2876
1528762235,2839,2879
1528767037,2831,2871
1528770633,2833,2873
1528774236,2831,2871
1528777234,2832,2872
1528784434,2829,2869
1528789236,2828,2869
1528794037,2829,2870
1528798237,2827,2868
1528803037,2816,2857
1528806634,2821,2862
1528810237,2824,2865
1528813835,2820,2861
1528816836,2827,2868
1528820434,2830,2872
1528825237,2827,2869
1528828834,2827,2870
1528831836,2827,2868
1528836037,2817,2858
1528840837,2822,2863
1528844435,2824,2865
1528848037,2813,2854
1528856437,2802,2843
1528860636,2791,2832
1528867836,2787,2828
1528875036,2778,2819
1528878634,2766,2807
1528885837,2754,2795
1528889437,2749,2790
1528893034,2742,2783
1528896036,2743,2784
1528900237,2736,2777
1528903834,2739,2780
1528907437,2737,2778
1528914635,2729,2770
1528917637,2723,2764
1528921236,2725,2766
1528925436,2724,2765
1528929035,2728,2769
1528932636,2720,2761
1528936234,2719,2761
1528940437,2712,2754
1528944036,2716,2758
1528949437,2711,2753
1528954236,2716,2758
1528957834,2720,2762
1528962037,2717,2759
1528966837,2720,2762
1528969834,2716,2758
1528974037,2715,2757
1528984834,2702,2744
1528991435,2690,2732
1528995639,2682,2724
1528999234,2683,2725
1529002836,2677,2719
1529006435,2678,2720
1529010037,2669,2711
1529014237,2671,2713
1529019635,2672,2714
1529024437,2670,2712
1529028636,2671,2712
1529032234,2675,2716
1529037037,2673,2714
1529040635,2675,2716
1529044236,2674,2715
1529047834,2678,2719
1529051437,2672,2713
1529055034,2666,2707
1529061633,2662,2703
1529065236,2662,2703
1529068834,2664,2705
1529073038,2660,2701
1529076634,2663,2704
1529079636,2665,2706
1529083838,2664,2706
1529087435,2674,2716
1529091037,2685,2726
1529094635,2686,2727
1529101834,2675,2716
1529105437,2672,2714
1529108434,2666,2708
1529112642,2652,2695
1529119835,2649,2692
1529123438,2650,2693
1529130635,2644,2687
1529134837,2630,2673
1529139637,2620,2663
1529143234,2622,2665
1529146836,2621,2663
1529150434,2622,2664
1529154037,2620,2662
1529157636,2619,2661
1529164834,2606,2647
1529168437,2602,2644
1529172035,2633,2675
1529176236,2640,2682
1529181637,2643,2685
1529186437,2644,2685
1529193636,2646,2687
1529197234,2651,2692
1529201438,2650,2691
1529206236,2655,2696
1529209834,2659,2700
1529213436,2661,2702
1529217034,2658,2699
1529220636,2656,2697
1529224234,2665,2706
1529227836,2668,2709
1529230835,2666,2707
1529234437,2665,2706
1529238034,2667,2708
1529242237,2653,2694
1529245834,2656,2697
1529249436,2658,2699
1529252435,2663,2705
1529256637,2663,2705
1529260235,2665,2707
1529263236,2658,2700
1529266836,2658,2700
1529270437,2660,2702
1529274035,2651,2693
1529277637,2653,2695
1529281836,2642,2684
1529285434,2643,2685
1529289036,2648,2690
1529292033,2642,2683
1529295636,2640,2681
1529299836,2643,2684
1529303434,2644,2685
1529306437,2640,2681
1529310034,2644,2685
1529313636,2641,2681
